City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,frenchville,-23.3442,150.5507,18.52,68,7,2.06,AU,1682934306
153,santo antonio,-6.3106,-35.4789,25.27,81,83,3.46,BR,1682934306
154,miles city,46.4083,-105.8406,3.54,60,0,2.57,US,1682934307
155,vadso,70.0744,29.7487,5.49,81,75,1.03,NO,1682934308
156,ta`u,-14.2336,-169.5144,27.65,77,29,8.29,AS,1682934308
157,jamestown,42.097,-79.2353,4.29,97,100,5.66,US,1682934285
158,gebeit,21.0667,36.3167,30.41,20,1,2.29,SD,1682934309
159,broken hill,-31.95,141.4333,17.85,44,98,3.18,AU,1682934098
160,queenstown,-31.8976,26.8753,25.24,10,64,7.2,ZA,1682934310
161,whitehorse,60.7161,-135.0538,3.43,81,20,4.63,CA,1682934018
162,novyy turtkul',41.55,61.0167,31.95,8,5,6.18,UZ,1682934312
163,sabang,5.8933,95.3214,29.44,74,16,5.25,ID,1682934312
164,zeya,53.75,127.2667,15.45,32,81,3.12,RU,1682934313
165,leon,21.1167,-101.6667,15.27,23,23,0.71,MX,1682934314
166,tralee,52.2704,-9.7026,13.14,67,75,2.06,IE,1682934314
167,loralai,30.3705,68.598,21.24,47,43,8.38,PK,1682934249
168,bangassou,4.7413,22.8184,28.19,56,98,1.95,CF,1682934315
169,ingeniero guillermo n. juarez,-23.9,-61.85,20.71,74,99,7.13,AR,1682934316
170,phek,25.6667,94.5,16.81,83,95,0.96,IN,1682934316
171,minas de marcona,-15.2119,-75.1103,14.34,92,45,4.74,PE,1682934317
172,at taj,24.2049,23.2857,29.77,10,0,1.22,LY,1682934318
173,holualoa,19.6228,-155.9522,22.91,85,100,3.09,US,1682934318
174,kattivakkam,13.2167,80.3167,32.05,80,84,6.23,IN,1682934319
175,zhumadian,32.9794,114.0294,25.1,29,4,6.37,CN,1682934320
176,isabela,6.7085,121.9711,30.03,78,97,1.37,PH,1682934320
177,chibougamau,49.9168,-74.3659,5.79,93,100,9.26,CA,1682934321
178,aykhal,66.0,111.5,0.76,98,100,11.71,RU,1682934321
179,aasiaat,68.7098,-52.8699,-8.23,84,96,3.6,GL,1682934322
180,howard springs,-12.497,131.047,30.46,78,21,1.83,AU,1682934323
181,talcahuano,-36.7167,-73.1167,5.82,93,0,2.06,CL,1682934323
182,huarmey,-10.0681,-78.1522,23.79,85,91,4.7,PE,1682934324
183,saipan,15.1355,145.701,28.39,100,40,7.2,MP,1682934324
184,mar del plata,-38.0023,-57.5575,10.05,85,0,3.6,AR,1682934325
185,vorgashor,67.5833,63.95,0.25,86,87,2.98,RU,1682934326
186,severo-yeniseyskiy,60.3725,93.0408,-0.62,87,100,3.22,RU,1682934326
187,sedico,46.1111,12.1003,19.03,70,100,0.89,IT,1682934327
188,saint-francois,46.4154,3.9054,15.69,68,40,5.14,FR,1682934327
189,kodiak,57.79,-152.4072,4.73,60,0,5.14,US,1682934328
190,san andres,12.5847,-81.7006,28.01,83,20,4.63,CO,1682934266
191,tazovsky,67.4667,78.7,-4.7,79,4,4.47,RU,1682934330
192,guayaramerin,-10.8368,-65.3614,22.09,99,37,0.91,BO,1682934330
193,miramichi,47.0043,-65.4654,2.71,70,100,5.29,CA,1682934331
194,chonchi,-42.6128,-73.8092,7.29,93,100,1.61,CL,1682934332
195,iskateley,67.6803,53.1512,0.96,99,100,6.5,RU,1682934332
196,portland,45.5234,-122.6762,12.02,77,90,0.89,US,1682934198
197,akora,34.0036,72.1261,32.3,29,69,2.51,PK,1682934333
198,port mathurin,-19.6833,63.4167,26.48,74,22,5.07,MU,1682934334
199,karwar,14.8,74.1333,30.52,57,95,6.45,IN,1682934335
